ts_event,symbol,ofi_1,ofi_2,ofi_3,ofi_4,ofi_5,ofi_6,ofi_7,ofi_8,ofi_9,ofi_10,ofi_integrated
2024-10-21T11:54:29.221064336Z,AAPL,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
2024-10-21T11:54:29.223769812Z,AAPL,0.011764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004934925242310743
2024-10-21T11:54:29.225030400Z,AAPL,0.017578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000737347228587445
2024-10-21T11:54:29.712434212Z,AAPL,0.0,0.0,1.550387596899225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14258382009594217
2024-10-21T11:54:29.764673165Z,AAPL,0.0,0.0,-1.6129032258064515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14833316768045596
2024-10-21T11:54:29.764685027Z,AAPL,0.0,10.526315789473685,0.09538950715421304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.945382782038529
2024-10-21T11:54:36.289427977Z,AAPL,0.0,0.0,0.0,0.0,0.0,0.0,-1.9047619047619047,-2.2690437601296596,-0.36798088410991636,-0.7380952380952381,-0.5600884542182589
2024-10-21T11:54:37.990793976Z,AAPL,-1.1661807580174928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.048917626308619615
2024-10-21T11:54:39.124291588Z,AAPL,0.006230529595015576,0.0864345738295318,1.8569463548830814,0.3524645509790682,1.1479591836734693,2.5899280575539567,1.9047619047619047,0.46643109540636046,1.345875542691751,1.9972260748959778,1.3539947239296182
2024-10-21T11:54:39.134140341Z,AAPL,-1.2372409526755335,-0.009675858732462506,-0.10869565217391305,-1.8083182640144664,-1.3302752293577982,-0.32786885245901637,-1.9047619047619047,-1.99203187250996,-0.3969327920613442,-0.8125819134993447,-0.959300215204857
2024-10-21T11:54:41.233181043Z,AAPL,-0.018466703973139337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000774620330424266
2024-10-21T11:54:41.234620509Z,AAPL,0.006128702757916242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002570798645126128
2024-10-21T11:54:41.235907431Z,AAPL,-0.00610758750293634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002561941457718286
2024-10-21T11:54:41.235977207Z,AAPL,-0.012184508268059183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005111019180461083
2024-10-21T11:54:41.238618235Z,AAPL,0.012505210504376823,1.0942009971136184,6.147540983606557,0.1185302252074279,1.2556053811659191,0.21377672209026127,1.0153846153846153,0.08675534991324466,1.1197828299966066,0.6109979633401222,1.1205434961556324
2024-10-21T11:54:41.239827037Z,AAPL,0.019188486907855285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008048968614282563
2024-10-21T11:54:50.970297264Z,AAPL,0.0,0.0,0.0,0.0,1.0911424903722722,2.88135593220339,1.7571059431524547,0.4019344438473939,1.5656565656565657,2.4007060900264783,1.2379139161036932
2024-10-21T11:54:50.970336474Z,AAPL,0.0,0.0,0.0,-0.34342105263157896,0.0,0.0,0.0,0.0,0.0,0.0,-0.03577750871186775
2024-10-21T11:54:53.247532557Z,AAPL,-0.020302760463045414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008516371433302067
2024-10-21T11:54:53.248893986Z,AAPL,-0.9338259993281828,-3.3528918692372174,-0.1110494169905608,-0.3259604190919674,-0.6486486486486487,-1.4193548387096775,-0.0851063829787234,-1.104417670682731,-0.963623223319682,-0.3089887640449438,-0.8904585022082789
2024-10-21T11:54:53.251320969Z,AAPL,0.020144367970454925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008449930748962494
2024-10-21T11:54:53.252546517Z,AAPL,0.013422818791946308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005630451618743801
2024-10-21T11:54:55.503497741Z,AAPL,0.0,0.0,0.0,-0.17094017094017094,-4.365079365079366,-0.11347517730496454,-0.9166666666666666,-1.0065425264217414,-0.535801266439357,-0.005660911406736484,-0.6462218564729364
2024-10-21T11:54:55.503541005Z,AAPL,0.0,0.0,0.0,0.3052572074618428,0.597609561752988,1.1891891891891893,0.08333333333333333,1.1071967790639154,0.9741841207988309,0.31135012737050666,0.5049535612266838
2024-10-21T11:54:55.551806996Z,AAPL,0.0,2.380243975007438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21178926033589085
2024-10-21T11:54:58.132928650Z,AAPL,0.0,0.0,0.0,0.0,0.0,1.9753086419753085,0.3789836347975883,1.517747858017136,3.6773155596414617,0.005999700014999249,0.797637200915104
2024-10-21T11:54:58.133944065Z,AAPL,0.0,-1.1557353366079166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10283497601689238
2024-10-21T11:55:09.125042325Z,AAPL,0.0,-0.059417706476530004,-0.43742405832320774,-0.16492578339747113,-4.062788550323177,-0.09302325581395349,-0.9927797833935018,-1.0037641154328734,-0.438421681944998,-0.006344171292624901,-0.6609172361831305
2024-10-21T11:55:09.125055670Z,AAPL,0.0,2.3104693140794224,0.17189514396218308,0.28518616318986006,0.554016620498615,1.0232558139534884,0.09354536950420954,1.07421875,0.7600228006840206,0.372502539790044,0.6851913376826689
2024-10-21T11:55:09.160009889Z,AAPL,0.0,0.0,0.0,0.30639197041732696,0.0,0.0,0.0,0.0,0.0,0.0,0.03191982933734752
2024-10-21T11:55:09.160051447Z,AAPL,0.0,0.0,-0.4587935429056924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04219366570893514
2024-10-21T11:55:13.899151539Z,AAPL,0.0,2.12624584717608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1891890243159945
2024-10-21T11:55:22.016715475Z,AAPL,0.0,0.0,0.0,-0.15910898965791567,-3.78657487091222,-0.08163265306122448,-1.1727078891257996,-1.0240655401945724,-0.331225534477567,-0.007639419404125286,-0.5998878462163663
2024-10-21T11:55:22.060173668Z,AAPL,0.0,0.0,0.0,0.2864721485411141,0.5181347150259068,0.8669950738916257,0.11123470522803114,1.1396011396011396,0.5715918833952558,0.4329004329004329,0.43941968262593684
2024-10-21T11:55:22.132778490Z,AAPL,0.0,1.9079418077748629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16976477557570457
2024-10-21T11:55:26.447978801Z,AAPL,-1.2397334573066792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05200293142369915
2024-10-21T11:55:30.365285173Z,AAPL,0.0,-0.04485310607759588,-0.7923697725605282,-0.15752165922814387,-3.6484245439469323,-0.07130124777183601,-1.5027322404371584,-0.9587727708533078,-0.27918781725888325,-0.009555661729574772,-0.6852939900533013
2024-10-21T11:55:30.365297270Z,AAPL,0.0,1.70593879944557,0.4,0.2844350803265736,0.5029337803855826,0.7712532865907099,0.14970059880239522,1.003878621948437,0.4929143561306223,0.5879208979155532,0.6210155383992764
2024-10-21T11:55:30.377046532Z,AAPL,0.0,0.0,0.0,-0.1590246488205672,-3.450980392156863,-0.07017543859649122,-1.7488076311605725,-0.8726003490401396,-0.26490066225165565,-0.012330456226880395,-0.6066903446361012
2024-10-21T11:55:30.377110788Z,AAPL,0.0,0.0,1.7291066282420748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1590199953231401
2024-10-21T11:55:30.509413271Z,AAPL,0.0,0.0,1.4917127071823204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13718769209783607
2024-10-21T11:55:30.509458075Z,AAPL,0.0,0.0,0.0,0.0,-0.6914212548015365,-0.19138755980861244,-3.1948881789137378,-0.3685092127303182,-0.7159353348729792,-7.005253940455341,-1.6153354958188881
2024-10-21T11:55:30.559949308Z,AAPL,0.0,1.5037593984962405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13380144811821978
2024-10-21T11:55:31.194923125Z,AAPL,0.0,0.0,1.3483146067415732,0.4441976679622432,0.3831417624521073,0.9025641025641026,0.1597444089456869,0.9212730318257956,0.4618937644341801,0.9632224168126094,0.631166178430312
2024-10-21T11:55:31.195023714Z,AAPL,0.0,0.0,0.0,-0.3374578177727784,0.0,0.0,0.0,0.0,0.0,0.0,-0.03515626058081467
2024-10-21T11:55:34.079261198Z,AAPL,-0.8248034416258715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03459791825420646
2024-10-21T11:55:35.302921978Z,AAPL,-0.012121212121212121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005084468431471675
2024-10-21T11:55:35.303067914Z,AAPL,-2.3337222870478413,-0.09594030381096207,-0.47904191616766467,-0.17467248908296942,-2.795425667090216,-0.09580838323353294,-1.4804845222072678,-0.9002925950934053,-0.277602523659306,-0.011490950876185003,-0.6833126559406971
2024-10-21T11:55:35.304531207Z,AAPL,0.011915400655347037,1.421337834236475,1.2676056338028168,0.11802891708468576,0.3807106598984772,1.1,0.1278772378516624,1.0156971375807942,0.5208333333333334,0.5670103092783505,0.6930154723637071
2024-10-21T11:55:35.305736838Z,AAPL,-2.2955523672883786,-0.0992282249173098,-0.4694835680751174,-0.17767249037607344,-2.630005977286312,-0.10738255033557047,-1.3002364066193854,-0.949893137022085,-0.2976995940460081,-0.009467455621301775,-0.6573234446933741
2024-10-21T11:55:35.374212373Z,AAPL,-0.15759521377498906,-0.03811701924909472,-0.7228915662650602,-1.2716763005780347,-0.23952095808383234,-1.2394366197183098,-1.1019283746556474,-0.5438813349814586,-0.005676979846721544,-0.4329941545789132,-0.6369584854782326
2024-10-21T11:55:35.374226300Z,AAPL,0.0,0.0,8.056394763343404,0.1740139211136891,2.490096208262592,0.12213740458015267,1.1322696860524961,1.0193679918450562,0.3256364712847839,0.008058017727639002,1.2320446702455523
2024-10-21T11:55:38.243671650Z,AAPL,1.2145015105740182,0.033609914924902846,4.622496147919876,0.324812030075188,0.5659309564233164,2.4427480916030535,0.45290787442099845,1.580020387359837,2.3682652457075193,0.008058017727639002,1.3213162662693148
2024-10-21T11:55:38.243683612Z,AAPL,-1.1933174224343677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.050055924295514705
2024-10-21T11:55:38.298336797Z,AAPL,0.0,0.0,4.192872117400419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3856040417689002
2024-10-21T11:55:38.572413983Z,AAPL,-1.199220506670664,-1.009416195856874,-0.1545147271849348,-1.9717384160368057,-0.5258033106134372,-0.35714285714285715,-1.842468908337172,-0.4652392281258261,-0.972396486825596,-3.0763314747164006,-1.2592898349554824
2024-10-21T11:55:44.733510979Z,AAPL,0.1769371568029286,0.13530443497870207,0.1973359644795264,2.4783147459727384,0.3059663437021928,1.614678899082569,0.09095043201455207,1.1950027159152634,0.6476683937823834,0.38910505836575876,0.79660112964313
2024-10-21T11:55:44.791957886Z,AAPL,0.0,-0.052687038988408846,-3.65296803652968,-0.18656716417910446,-2.137998056365403,-0.16326530612244897,-0.9454232917920069,-1.1232799775344005,-0.37376826367652055,-0.006667777962993833,-0.8044023897720846
